case_id,drug,disease,category,standard_gold,epistemic_gold,prediction,epistemic_prediction,recommendation,is_correct_standard,is_correct_epistemic,runtime_seconds,support_score,opposition_score,opposition_level,decision_rule,qualified_negative_claim_count,failure_type,primary_explanation
TC-040,Dexamethasone,COVID-19,Category B: Negative / failed / hard-negative,SUPPORT,SUPPORT,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,50.79,0.9848,0.0,NONE,"Rule 1c (LITERATURE SIGNAL WITHOUT THERAPEUTIC ANCHOR): Support score reflects literature co-mentions (SS = 0.985, from 58 record(s)) and mechanistic plausibility (MS = 0.414), but no pair-specific clinical trial success or approved therapeutic indication was found. Promoting to UNCERTAIN pending human clinical validation of this drug-disease pair.",0,FALSE_UNCERTAIN_ON_POSITIVE,"Approved or established therapy failed positive gate: SS=0.985, Gate=Rule 1c (LITERATURE SIGNAL WITHOUT THERAPEUTIC ANCHOR): Support score reflects literature co-mentions (SS = 0.985, from 58 record(s)) and mechanistic plausibility (MS = 0.414), but no pair-specific clinical trial success or approved therapeutic indication was found. Promoting to UNCERTAIN pending human clinical validation of this drug-disease pair."
TC-041,Etanercept,Sepsis,Category C: Contradiction / therapeutic direction / safety,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,36.3,0.9837,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.984, MS=0.000, RS=0.213. Safety grade: C.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-042,Infliximab,Heart failure,Category C: Contradiction / therapeutic direction / safety,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,32.28,0.9837,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.984, MS=0.370, RS=0.058. Safety grade: B.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-043,Rosiglitazone,Type 2 diabetes,Category C: Contradiction / therapeutic direction / safety,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,43.48,0.9948,0.3187,MODERATE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Type 2 diabetes' (regulatory confidence 75%). Matched ChEMBL term: 'type 2 diabetes mellitus'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",1,NONE,Prediction matches ground truth.
TC-044,Rofecoxib,Cardiovascular disease,Category C: Contradiction / therapeutic direction / safety,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,34.44,0.994,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.994, MS=0.390, RS=0.213. Safety grade: C.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-045,Varenicline,Smoking cessation,Category C: Contradiction / therapeutic direction / safety,SUPPORT,SUPPORT,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,51.61,0.988,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.988, MS=0.391, RS=0.000. Safety grade: A.",0,FALSE_UNCERTAIN_ON_POSITIVE,"Approved or established therapy failed positive gate: SS=0.988, Gate=Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.988, MS=0.391, RS=0.000. Safety grade: A."
TC-046,Propranolol,Migraine,Category C: Contradiction / therapeutic direction / safety,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,32.6,0.9871,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Migraine' (regulatory confidence 60%). Matched ChEMBL term: 'migraine disorder'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-047,Gabapentin,Neuropathic pain,Category C: Contradiction / therapeutic direction / safety,SUPPORT,SUPPORT,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,35.82,0.988,0.0,NONE,"Rule 1c (LITERATURE SIGNAL WITHOUT THERAPEUTIC ANCHOR): Support score reflects literature co-mentions (SS = 0.988, from 60 record(s)) and mechanistic plausibility (MS = 0.490), but no pair-specific clinical trial success or approved therapeutic indication was found. Promoting to UNCERTAIN pending human clinical validation of this drug-disease pair.",0,FALSE_UNCERTAIN_ON_POSITIVE,"Approved or established therapy failed positive gate: SS=0.988, Gate=Rule 1c (LITERATURE SIGNAL WITHOUT THERAPEUTIC ANCHOR): Support score reflects literature co-mentions (SS = 0.988, from 60 record(s)) and mechanistic plausibility (MS = 0.490), but no pair-specific clinical trial success or approved therapeutic indication was found. Promoting to UNCERTAIN pending human clinical validation of this drug-disease pair."
TC-048,Pregabalin,Fibromyalgia,Category C: Contradiction / therapeutic direction / safety,SUPPORT,SUPPORT,OPPOSE,OPPOSE,NOT_RECOMMENDED,False,False,30.05,0.9882,0.512,HIGH,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Fibromyalgia' (regulatory confidence 100%). Matched ChEMBL term: 'fibromyalgia'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",2,FALSE_OPPOSE,"System predicted OPPOSE (OppScore=0.512, Level=HIGH) against an established/approved indication."
TC-049,Colchicine,Gout,Category C: Contradiction / therapeutic direction / safety,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,32.07,0.989,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Gout' (regulatory confidence 100%). Matched ChEMBL term: 'gout'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-050,Allopurinol,Gout,Category C: Contradiction / therapeutic direction / safety,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,27.57,0.9891,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Gout' (regulatory confidence 100%). Matched ChEMBL term: 'gout'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-051,Valproic acid,Glioblastoma,Category D: Cancer / subtype / biomarker / clinical evidence,UNCERTAIN,UNCERTAIN,SUPPORT,SUPPORT,PROMISING,False,False,27.83,0.985,0.0,NONE,"Rule 1 (HIGH-QUALITY THERAPEUTIC EVIDENCE): Documented clinical trial success or high-quality therapeutic evidence (SS = 0.985, RS = 0.213). High-quality evidence establishes therapeutic viability.",0,FALSE_PROMISING,"System predicted SUPPORT (SS=0.985, Gate=Rule 1 (HIGH-QUALITY THERAPEUTIC EVIDENCE): Documented clinical trial success or high-quality therapeutic evidence (SS = 0.985, RS = 0.213). High-quality evidence establishes therapeutic viability.) without sufficient evidentiary basis or despite negative evidence."
